"TONS","ZONE","GEAR","TYPE","YEAR","NMFS_AREA","SPECIES","CDQ"
0.02,"BS","HAL","D",2001,524,"sole, flathead","Y"
11.09,"BS","HAL","R",2001,521,"sole, flathead","N"
0.44,"BS","HAL","D",2001,523,"sole, flathead","Y"
2.07,"BS","HAL","R",2001,513,"sole, flathead","N"
0.38,"BS","HAL","D",2001,524,"sole, flathead","N"
0.01,"BS","HAL","D",2001,516,"sole, flathead","Y"
0,"BS","HAL","R",2001,524,"sole, flathead","N"
0.28,"BS","HAL","D",2001,518,"sole, flathead","Y"
0.13,"BS","HAL","D",2001,519,"sole, flathead","N"
0.01,"BS","HAL","R",2001,509,"sole, flathead","N"
0.06,"BS","HAL","D",2001,519,"sole, flathead","Y"
72.45,"BS","HAL","D",2001,517,"sole, flathead","N"
0.21,"BS","HAL","R",2001,517,"sole, flathead","Y"
0,"BS","POT","D",2001,517,"sole, flathead","N"
0.02,"BS","POT","R",2001,519,"sole, flathead","N"
0,"BS","POT","D",2001,519,"sole, flathead","N"
0,"BS","POT","R",2001,517,"sole, flathead","Y"
0,"BS","POT","D",2001,509,"sole, flathead","N"
0.01,"BS","POT","D",2001,521,"sole, flathead","N"
0.03,"BS","POT","R",2001,509,"sole, flathead","N"
0.01,"BS","POT","R",2001,517,"sole, flathead","N"
0,"BS","POT","D",2001,513,"sole, flathead","N"
0,"BS","POT","D",2001,518,"sole, flathead","N"
45.42,"BS","TRW","D",2001,521,"sole, flathead","Y"
5897.77,"BS","TRW","R",2001,521,"sole, flathead","N"
27.5,"BS","TRW","D",2001,517,"sole, flathead","Y"
1853.6,"BS","TRW","R",2001,517,"sole, flathead","N"
8.65,"BS","TRW","D",2001,519,"sole, flathead","N"
282.88,"BS","TRW","D",2001,517,"sole, flathead","N"
593.07,"BS","TRW","D",2001,509,"sole, flathead","N"
89.6,"BS","TRW","R",2001,523,"sole, flathead","N"
22.04,"BS","TRW","D",2001,509,"sole, flathead","Y"
82.95,"BS","TRW","R",2001,519,"sole, flathead","N"
0,"BS","TRW","D",2001,523,"sole, flathead","Y"
79.89,"BS","TRW","D",2001,524,"sole, flathead","N"
8.56,"BS","TRW","R",2001,517,"sole, flathead","Y"
0.57,"BS","TRW","R",2001,516,"sole, flathead","Y"
19.37,"BS","TRW","D",2001,513,"sole, flathead","Y"
2.97,"BS","TRW","D",2001,519,"sole, flathead","Y"
0.06,"BS","TRW","D",2001,514,"sole, flathead","Y"
18.31,"BS","TRW","R",2001,518,"sole, flathead","N"
249.19,"BS","TRW","R",2001,516,"sole, flathead","N"
24.96,"BS","TRW","R",2001,509,"sole, flathead","Y"
669.16,"BS","TRW","R",2001,524,"sole, flathead","N"
24.61,"BS","TRW","R",2001,513,"sole, flathead","Y"
0.91,"BS","TRW","R",2001,519,"sole, flathead","Y"
88.62,"BS","TRW","D",2001,516,"sole, flathead","N"
9.5,"BS","TRW","R",2001,514,"sole, flathead","N"
613.55,"BS","TRW","D",2001,513,"sole, flathead","N"
3758.08,"BS","TRW","R",2001,513,"sole, flathead","N"
21.21,"BS","TRW","R",2001,521,"sole, flathead","Y"
2.14,"BS","TRW","D",2001,523,"sole, flathead","N"
1272.2,"BS","TRW","D",2001,521,"sole, flathead","N"
2.34,"BS","TRW","D",2001,516,"sole, flathead","Y"
1704.54,"BS","TRW","R",2001,509,"sole, flathead","N"
0.56,"BS","TRW","D",2001,518,"sole, flathead","N"
0,"BS","TRW","R",2001,523,"sole, flathead","Y"
14.23,"BS","TRW","D",2001,514,"sole, flathead","N"
0.05,"AI","HAL","D",2002,542,"sole, flathead","N"
0.32,"AI","HAL","D",2002,541,"sole, flathead","N"
0.46,"AI","HAL","D",2002,543,"sole, flathead","N"
0.02,"AI","HAL","D",2002,541,"sole, flathead","Y"
0,"AI","POT","D",2002,541,"sole, flathead","N"
99.83,"AI","TRW","D",2002,541,"sole, flathead","N"
0.54,"AI","TRW","R",2002,543,"sole, flathead","N"
0.15,"AI","TRW","D",2002,541,"sole, flathead","Y"
0.1,"AI","TRW","R",2002,543,"sole, flathead","Y"
0.35,"AI","TRW","D",2002,543,"sole, flathead","Y"
5.66,"AI","TRW","R",2002,541,"sole, flathead","N"
1.08,"AI","TRW","D",2002,542,"sole, flathead","N"
0.18,"AI","TRW","R",2002,541,"sole, flathead","Y"
2.26,"AI","TRW","D",2002,543,"sole, flathead","N"
0.64,"BS","HAL","D",2002,512,"sole, flathead","N"
31.09,"BS","HAL","D",2002,509,"sole, flathead","N"
5.47,"BS","HAL","D",2002,523,"sole, flathead","N"
0.4,"BS","HAL","D",2002,516,"sole, flathead","Y"
0.01,"BS","HAL","D",2002,518,"sole, flathead","N"
5.8,"BS","HAL","D",2002,509,"sole, flathead","Y"
7.13,"BS","HAL","D",2002,524,"sole, flathead","N"
59.41,"BS","HAL","D",2002,513,"sole, flathead","N"
0.04,"BS","HAL","R",2002,509,"sole, flathead","N"
21.4,"BS","HAL","D",2002,521,"sole, flathead","Y"
0.15,"BS","HAL","D",2002,512,"sole, flathead","Y"
2.71,"BS","HAL","D",2002,513,"sole, flathead","Y"
0.24,"BS","HAL","D",2002,523,"sole, flathead","Y"
0.02,"BS","HAL","R",2002,524,"sole, flathead","N"
9.05,"BS","HAL","R",2002,521,"sole, flathead","N"
0.15,"BS","HAL","D",2002,519,"sole, flathead","N"
1.61,"BS","HAL","D",2002,524,"sole, flathead","Y"
104.96,"BS","HAL","D",2002,521,"sole, flathead","N"
2,"BS","HAL","D",2002,516,"sole, flathead","N"
6.66,"BS","HAL","R",2002,513,"sole, flathead","N"
0,"BS","HAL","R",2002,521,"sole, flathead","Y"
115.72,"BS","HAL","D",2002,517,"sole, flathead","N"
1.15,"BS","HAL","R",2002,517,"sole, flathead","N"
5.86,"BS","HAL","D",2002,517,"sole, flathead","Y"
0.02,"BS","HAL","R",2002,523,"sole, flathead","N"
0.02,"BS","POT","D",2002,519,"sole, flathead","N"
0,"BS","POT","D",2002,518,"sole, flathead","N"
0.01,"BS","POT","R",2002,517,"sole, flathead","N"
0.1,"BS","POT","R",2002,509,"sole, flathead","N"
0.01,"BS","POT","D",2002,517,"sole, flathead","N"
0.01,"BS","POT","D",2002,509,"sole, flathead","N"
0.04,"BS","POT","R",2002,519,"sole, flathead","N"
0.01,"BS","POT","R",2002,513,"sole, flathead","N"
0.45,"BS","POT","R",2002,519,"sole, flathead","Y"
0,"BS","POT","D",2002,513,"sole, flathead","N"
0.02,"BS","POT","D",2002,521,"sole, flathead","N"
0,"BS","POT","D",2002,508,"sole, flathead","N"
43.31,"BS","TRW","D",2002,516,"sole, flathead","N"
0.06,"BS","TRW","D",2002,523,"sole, flathead","N"
0.07,"BS","TRW","R",2002,523,"sole, flathead","N"
1214.26,"BS","TRW","R",2002,517,"sole, flathead","N"
84.69,"BS","TRW","R",2002,519,"sole, flathead","N"
1.58,"BS","TRW","D",2002,519,"sole, flathead","Y"
0.76,"BS","TRW","R",2002,518,"sole, flathead","N"
0.19,"BS","TRW","R",2002,514,"sole, flathead","Y"
5.15,"BS","TRW","R",2002,519,"sole, flathead","Y"
0.35,"BS","TRW","D",2002,516,"sole, flathead","Y"
63.61,"BS","TRW","D",2002,521,"sole, flathead","Y"
23.56,"BS","TRW","D",2002,514,"sole, flathead","N"
27.99,"BS","TRW","R",2002,514,"sole, flathead","N"
788.04,"BS","TRW","D",2002,509,"sole, flathead","N"
74.44,"BS","TRW","R",2002,521,"sole, flathead","Y"
770.68,"BS","TRW","D",2002,513,"sole, flathead","N"
24.93,"BS","TRW","D",2002,509,"sole, flathead","Y"
91.52,"BS","TRW","R",2002,513,"sole, flathead","Y"
1224.29,"BS","TRW","D",2002,521,"sole, flathead","N"
2557.57,"BS","TRW","R",2002,513,"sole, flathead","N"
53.2,"BS","TRW","R",2002,516,"sole, flathead","N"
302.62,"BS","TRW","R",2002,524,"sole, flathead","N"
1.58,"BS","TRW","D",2002,518,"sole, flathead","N"
40.47,"BS","TRW","D",2002,517,"sole, flathead","Y"
50.1,"BS","TRW","R",2002,517,"sole, flathead","Y"
519.82,"BS","TRW","R",2002,509,"sole, flathead","N"
31.76,"BS","TRW","D",2002,513,"sole, flathead","Y"
24.54,"BS","TRW","R",2002,509,"sole, flathead","Y"
250.12,"BS","TRW","D",2002,524,"sole, flathead","N"
6264.58,"BS","TRW","R",2002,521,"sole, flathead","N"
502.74,"BS","TRW","D",2002,517,"sole, flathead","N"
16.2,"BS","TRW","R",2002,524,"sole, flathead","Y"
26.64,"BS","TRW","D",2002,519,"sole, flathead","N"
0.125,"AI","HAL","D",2003,543,"sole, flathead","N"
0.542,"AI","HAL","R",2003,542,"sole, flathead","N"
0.137,"AI","HAL","D",2003,542,"sole, flathead","N"
0.026,"AI","HAL","D",2003,541,"sole, flathead","N"
0.001,"AI","POT","D",2003,542,NA,"N"
0.429,"AI","TRW","D",2003,542,"sole, flathead","N"
0.091,"AI","TRW","R",2003,542,"sole, flathead","N"
3.571,"AI","TRW","R",2003,543,"sole, flathead","N"
6.386,"AI","TRW","D",2003,543,"sole, flathead","N"
3.658,"AI","TRW","D",2003,541,NA,"N"
0.316,"AI","TRW","D",2003,542,NA,"N"
2.674,"AI","TRW","R",2003,541,"sole, flathead","N"
30.076,"AI","TRW","D",2003,541,"sole, flathead","N"
27.933,"BS","HAL","D",2003,509,"sole, flathead","N"
2.337,"BS","HAL","D",2003,516,"sole, flathead","N"
5.786,"BS","HAL","D",2003,524,"sole, flathead","N"
0.815,"BS","HAL","R",2003,509,"sole, flathead","N"
0.104,"BS","HAL","R",2003,524,"sole, flathead","N"
23.328,"BS","HAL","R",2003,521,"sole, flathead","N"
63.985,"BS","HAL","D",2003,513,"sole, flathead","N"
178.565,"BS","HAL","D",2003,521,"sole, flathead","N"
5.046,"BS","HAL","R",2003,513,"sole, flathead","N"
3.838,"BS","HAL","R",2003,517,"sole, flathead","N"
0.046,"BS","HAL","D",2003,512,"sole, flathead","N"
0.007,"BS","HAL","D",2003,518,"sole, flathead","N"
8.194,"BS","HAL","D",2003,523,"sole, flathead","N"
53.369,"BS","HAL","D",2003,517,"sole, flathead","N"
0.069,"BS","HAL","R",2003,523,"sole, flathead","N"
3.527,"BS","HAL","D",2003,519,"sole, flathead","N"
0.155,"BS","POT","R",2003,509,"sole, flathead","N"
0.004,"BS","POT","D",2003,509,NA,"N"
0.02,"BS","POT","R",2003,519,"sole, flathead","N"
0.006,"BS","POT","D",2003,517,NA,"N"
0.131,"BS","POT","D",2003,509,"sole, flathead","N"
0.012,"BS","POT","D",2003,518,NA,"N"
0.013,"BS","POT","D",2003,521,"sole, flathead","N"
0.01,"BS","POT","R",2003,517,"sole, flathead","N"
0.096,"BS","POT","D",2003,519,NA,"N"
0.027,"BS","TRW","D",2003,523,NA,"N"
140.929,"BS","TRW","D",2003,509,NA,"N"
21.834,"BS","TRW","D",2003,519,"sole, flathead","N"
843.12,"BS","TRW","D",2003,513,"sole, flathead","N"
21.415,"BS","TRW","D",2003,514,"sole, flathead","N"
78.535,"BS","TRW","D",2003,516,"sole, flathead","N"
467.477,"BS","TRW","R",2003,524,"sole, flathead","N"
64.893,"BS","TRW","R",2003,512,"sole, flathead","N"
42.73,"BS","TRW","D",2003,512,"sole, flathead","N"
2.469,"BS","TRW","D",2003,516,NA,"N"
0.008,"BS","TRW","D",2003,512,NA,"N"
0.222,"BS","TRW","D",2003,523,"sole, flathead","N"
151.257,"BS","TRW","R",2003,516,"sole, flathead","N"
118.55,"BS","TRW","R",2003,514,"sole, flathead","N"
83.362,"BS","TRW","R",2003,519,"sole, flathead","N"
577.782,"BS","TRW","D",2003,509,"sole, flathead","N"
0.216,"BS","TRW","R",2003,523,"sole, flathead","N"
105.544,"BS","TRW","D",2003,524,"sole, flathead","N"
16.857,"BS","TRW","D",2003,519,NA,"N"
3630.185,"BS","TRW","R",2003,513,"sole, flathead","N"
1184.104,"BS","TRW","D",2003,521,"sole, flathead","N"
206.358,"BS","TRW","D",2003,517,"sole, flathead","N"
181.099,"BS","TRW","D",2003,517,NA,"N"
14.717,"BS","TRW","D",2003,521,NA,"N"
498.749,"BS","TRW","R",2003,517,"sole, flathead","N"
732.437,"BS","TRW","R",2003,509,"sole, flathead","N"
19.015,"BS","TRW","D",2003,513,NA,"N"
4155.424,"BS","TRW","R",2003,521,"sole, flathead","N"
0.179,"BS","TRW","R",2003,518,"sole, flathead","N"
0.021,"AI","HAL","R",2004,542,"sole, flathead","N"
0.015,"AI","HAL","D",2004,542,"sole, flathead","N"
0.08,"AI","HAL","D",2004,541,"sole, flathead","N"
0.165,"AI","HAL","D",2004,543,"sole, flathead","N"
0.603,"AI","TRW","D",2004,542,NA,"N"
1.464,"AI","TRW","R",2004,541,"sole, flathead","N"
0.084,"AI","TRW","D",2004,542,"sole, flathead","Y"
1.293,"AI","TRW","D",2004,541,NA,"N"
23.203,"AI","TRW","D",2004,541,"sole, flathead","N"
0.047,"AI","TRW","R",2004,543,"sole, flathead","Y"
2.24,"AI","TRW","R",2004,543,"sole, flathead","N"
0.243,"AI","TRW","D",2004,542,"sole, flathead","N"
8.078,"AI","TRW","D",2004,543,"sole, flathead","N"
0.005,"AI","TRW","D",2004,543,"sole, flathead","Y"
4.342,"BS","HAL","D",2004,519,"sole, flathead","N"
12.621,"BS","HAL","R",2004,521,"sole, flathead","N"
0.02,"BS","HAL","R",2004,514,"sole, flathead","N"
6.02,"BS","HAL","R",2004,521,"sole, flathead","Y"
0.056,"BS","HAL","R",2004,509,"sole, flathead","N"
0.005,"BS","HAL","R",2004,523,"sole, flathead","N"
0.021,"BS","HAL","D",2004,514,"sole, flathead","N"
0.07,"BS","HAL","D",2004,518,"sole, flathead","N"
0.897,"BS","HAL","D",2004,516,"sole, flathead","N"
15.044,"BS","HAL","D",2004,524,"sole, flathead","N"
0.003,"BS","HAL","R",2004,513,"sole, flathead","Y"
0.043,"BS","HAL","R",2004,524,"sole, flathead","N"
0.53,"BS","HAL","R",2004,517,"sole, flathead","N"
5.28,"BS","HAL","R",2004,513,"sole, flathead","N"
0.187,"BS","HAL","D",2004,519,"sole, flathead","Y"
0.653,"BS","HAL","D",2004,512,"sole, flathead","N"
4.787,"BS","HAL","D",2004,509,"sole, flathead","Y"
81.473,"BS","HAL","D",2004,517,"sole, flathead","N"
59.563,"BS","HAL","D",2004,521,"sole, flathead","Y"
0.005,"BS","HAL","D",2004,516,"sole, flathead","Y"
2.007,"BS","HAL","D",2004,524,"sole, flathead","Y"
1.418,"BS","HAL","D",2004,523,"sole, flathead","Y"
9.114,"BS","HAL","D",2004,523,"sole, flathead","N"
9.877,"BS","HAL","D",2004,517,"sole, flathead","Y"
149,"BS","HAL","D",2004,513,"sole, flathead","N"
32.335,"BS","HAL","D",2004,509,"sole, flathead","N"
194.168,"BS","HAL","D",2004,521,"sole, flathead","N"
0.001,"BS","HAL","D",2004,512,"sole, flathead","Y"
6.902,"BS","HAL","D",2004,513,"sole, flathead","Y"
0.01,"BS","POT","D",2004,524,"sole, flathead","N"
0.026,"BS","POT","D",2004,521,"sole, flathead","N"
0.151,"BS","POT","D",2004,509,"sole, flathead","N"
0.558,"BS","POT","R",2004,509,"sole, flathead","N"
0.057,"BS","POT","D",2004,519,NA,"N"
0.001,"BS","POT","R",2004,518,"sole, flathead","Y"
72.126,"BS","TRW","D",2004,519,"sole, flathead","N"
12.671,"BS","TRW","R",2004,521,"sole, flathead","Y"
161.37,"BS","TRW","D",2004,517,NA,"N"
2122.936,"BS","TRW","R",2004,513,"sole, flathead","N"
127.171,"BS","TRW","R",2004,516,"sole, flathead","N"
6.833,"BS","TRW","R",2004,516,"sole, flathead","Y"
3.283,"BS","TRW","D",2004,521,NA,"N"
71.681,"BS","TRW","R",2004,509,"sole, flathead","Y"
142.412,"BS","TRW","D",2004,509,NA,"N"
1.273,"BS","TRW","D",2004,516,"sole, flathead","Y"
9.522,"BS","TRW","D",2004,514,"sole, flathead","N"
59.18,"BS","TRW","D",2004,521,"sole, flathead","Y"
13.486,"BS","TRW","D",2004,513,NA,"N"
472.53,"BS","TRW","R",2004,519,"sole, flathead","N"
30.169,"BS","TRW","D",2004,517,"sole, flathead","Y"
8.066,"BS","TRW","R",2004,517,"sole, flathead","Y"
209.227,"BS","TRW","R",2004,513,"sole, flathead","Y"
0.429,"BS","TRW","R",2004,523,"sole, flathead","N"
5.074,"BS","TRW","R",2004,514,"sole, flathead","Y"
59.193,"BS","TRW","R",2004,524,"sole, flathead","N"
0.075,"BS","TRW","D",2004,519,"sole, flathead","Y"
12.015,"BS","TRW","D",2004,519,NA,"N"
0.05,"BS","TRW","R",2004,508,"sole, flathead","N"
7060.409,"BS","TRW","R",2004,521,"sole, flathead","N"
12.173,"BS","TRW","D",2004,509,"sole, flathead","Y"
679.788,"BS","TRW","D",2004,513,"sole, flathead","N"
757.458,"BS","TRW","D",2004,517,"sole, flathead","N"
65.247,"BS","TRW","D",2004,524,"sole, flathead","N"
830.734,"BS","TRW","D",2004,509,"sole, flathead","N"
0.611,"BS","TRW","R",2004,519,"sole, flathead","Y"
933.067,"BS","TRW","R",2004,517,"sole, flathead","N"
194.195,"BS","TRW","D",2004,516,"sole, flathead","N"
7.76,"BS","TRW","R",2004,514,"sole, flathead","N"
0.285,"BS","TRW","D",2004,523,"sole, flathead","N"
0.033,"BS","TRW","D",2004,524,"sole, flathead","Y"
0.494,"BS","TRW","D",2004,523,NA,"N"
36.967,"BS","TRW","D",2004,513,"sole, flathead","Y"
851.931,"BS","TRW","R",2004,509,"sole, flathead","N"
1730.992,"BS","TRW","D",2004,521,"sole, flathead","N"
0.392,"BS","TRW","D",2004,514,"sole, flathead","Y"
0.143,"AI","HAL","D",2005,541,"sole, flathead","Y"
0.102,"AI","HAL","D",2005,541,"sole, flathead","N"
0.011,"AI","POT","D",2005,541,NA,"N"
1.747,"AI","TRW","D",2005,541,NA,"N"
9.292,"AI","TRW","D",2005,543,"sole, flathead","N"
2.236,"AI","TRW","D",2005,542,NA,"N"
0.173,"AI","TRW","D",2005,542,"sole, flathead","N"
4.067,"AI","TRW","R",2005,541,"sole, flathead","N"
0.004,"AI","TRW","R",2005,542,"sole, flathead","N"
0.644,"AI","TRW","R",2005,543,"sole, flathead","Y"
2.603,"AI","TRW","R",2005,543,"sole, flathead","N"
0.001,"AI","TRW","D",2005,543,"sole, flathead","Y"
12.596,"AI","TRW","D",2005,541,"sole, flathead","N"
0,"BS","HAL","D",2005,514,"sole, flathead","N"
0.095,"BS","HAL","D",2005,519,"sole, flathead","Y"
0.87,"BS","HAL","D",2005,523,"sole, flathead","Y"
3.214,"BS","HAL","D",2005,517,"sole, flathead","Y"
0.097,"BS","HAL","R",2005,521,"sole, flathead","Y"
7.512,"BS","HAL","D",2005,523,"sole, flathead","N"
38.579,"BS","HAL","R",2005,513,"sole, flathead","N"
1.933,"BS","HAL","R",2005,524,"sole, flathead","N"
3.401,"BS","HAL","D",2005,513,"sole, flathead","Y"
274.602,"BS","HAL","D",2005,521,"sole, flathead","N"
0.357,"BS","HAL","D",2005,519,"sole, flathead","N"
8.689,"BS","HAL","R",2005,509,"sole, flathead","N"
15.017,"BS","HAL","D",2005,524,"sole, flathead","N"
3.361,"BS","HAL","D",2005,524,"sole, flathead","Y"
17.887,"BS","HAL","R",2005,521,"sole, flathead","N"
2.848,"BS","HAL","R",2005,517,"sole, flathead","N"
0.015,"BS","HAL","R",2005,517,"sole, flathead","Y"
0.001,"BS","HAL","D",2005,512,"sole, flathead","N"
93.219,"BS","HAL","D",2005,513,"sole, flathead","N"
17.64,"BS","HAL","D",2005,509,"sole, flathead","N"
0.009,"BS","HAL","R",2005,514,"sole, flathead","N"
0.089,"BS","HAL","R",2005,516,"sole, flathead","N"
74.366,"BS","HAL","D",2005,517,"sole, flathead","N"
1.227,"BS","HAL","D",2005,509,"sole, flathead","Y"
0.015,"BS","HAL","D",2005,516,"sole, flathead","Y"
1.489,"BS","HAL","D",2005,516,"sole, flathead","N"
56.653,"BS","HAL","D",2005,521,"sole, flathead","Y"
0.094,"BS","HAL","R",2005,523,"sole, flathead","N"
0.19,"BS","POT","D",2005,518,NA,"N"
0.003,"BS","POT","R",2005,517,"sole, flathead","N"
0.002,"BS","POT","D",2005,519,"sole, flathead","Y"
0.031,"BS","POT","R",2005,509,"sole, flathead","N"
0.004,"BS","POT","R",2005,519,"sole, flathead","N"
0.022,"BS","POT","D",2005,521,"sole, flathead","N"
0.025,"BS","POT","D",2005,516,"sole, flathead","N"
0.6,"BS","POT","D",2005,509,"sole, flathead","N"
0.028,"BS","POT","D",2005,513,NA,"N"
0.004,"BS","POT","D",2005,519,NA,"N"
0.007,"BS","POT","D",2005,524,"sole, flathead","N"
0.005,"BS","POT","D",2005,513,"sole, flathead","N"
124.716,"BS","TRW","D",2005,517,NA,"N"
30.258,"BS","TRW","R",2005,509,"sole, flathead","Y"
4.339,"BS","TRW","R",2005,516,"sole, flathead","Y"
3.632,"BS","TRW","R",2005,519,"sole, flathead","Y"
3495.53,"BS","TRW","R",2005,521,"sole, flathead","N"
3.846,"BS","TRW","R",2005,523,"sole, flathead","N"
756.536,"BS","TRW","D",2005,521,"sole, flathead","N"
38.588,"BS","TRW","D",2005,519,"sole, flathead","N"
1.92,"BS","TRW","R",2005,517,"sole, flathead","Y"
2.178,"BS","TRW","D",2005,523,"sole, flathead","N"
200.353,"BS","TRW","R",2005,519,"sole, flathead","N"
1088.081,"BS","TRW","R",2005,509,"sole, flathead","N"
13.533,"BS","TRW","D",2005,514,"sole, flathead","N"
24.082,"BS","TRW","D",2005,513,"sole, flathead","Y"
36.207,"BS","TRW","D",2005,517,"sole, flathead","Y"
0.276,"BS","TRW","D",2005,524,NA,"N"
142.784,"BS","TRW","R",2005,516,"sole, flathead","N"
490.962,"BS","TRW","D",2005,517,"sole, flathead","N"
26.446,"BS","TRW","D",2005,509,"sole, flathead","Y"
753.246,"BS","TRW","D",2005,509,"sole, flathead","N"
57.927,"BS","TRW","D",2005,513,NA,"N"
538.291,"BS","TRW","R",2005,524,"sole, flathead","Y"
74.476,"BS","TRW","D",2005,516,"sole, flathead","N"
466.496,"BS","TRW","D",2005,513,"sole, flathead","N"
24.602,"BS","TRW","D",2005,521,"sole, flathead","Y"
0.064,"BS","TRW","D",2005,516,NA,"N"
1403.306,"BS","TRW","R",2005,517,"sole, flathead","N"
1520.123,"BS","TRW","R",2005,524,"sole, flathead","N"
142.69,"BS","TRW","D",2005,509,NA,"N"
72.383,"BS","TRW","R",2005,513,"sole, flathead","Y"
0.154,"BS","TRW","D",2005,523,NA,"N"
0.071,"BS","TRW","D",2005,514,"sole, flathead","Y"
8.696,"BS","TRW","D",2005,524,"sole, flathead","Y"
1.062,"BS","TRW","D",2005,521,NA,"N"
0.06,"BS","TRW","D",2005,519,"sole, flathead","Y"
3536.602,"BS","TRW","R",2005,513,"sole, flathead","N"
261.136,"BS","TRW","D",2005,524,"sole, flathead","N"
50.175,"BS","TRW","R",2005,521,"sole, flathead","Y"
52.673,"BS","TRW","R",2005,514,"sole, flathead","N"
1.646,"BS","TRW","D",2005,519,NA,"N"
0.285,"AI","HAL","D",2006,543,"sole, flathead","N"
0.05,"AI","HAL","D",2006,541,"sole, flathead","Y"
0.005,"AI","HAL","R",2006,541,"sole, flathead","Y"
0.59,"AI","HAL","D",2006,541,"sole, flathead","N"
0.054,"AI","POT","D",2006,541,NA,"N"
4.232,"AI","TRW","R",2006,543,"sole, flathead","N"
9.645,"AI","TRW","D",2006,542,NA,"N"
2.042,"AI","TRW","D",2006,542,"sole, flathead","N"
11.612,"AI","TRW","D",2006,541,"sole, flathead","N"
2.896,"AI","TRW","R",2006,541,"sole, flathead","N"
1.102,"AI","TRW","D",2006,541,NA,"N"
0.095,"AI","TRW","R",2006,542,"sole, flathead","N"
5.726,"AI","TRW","D",2006,543,"sole, flathead","N"
0.085,"AI","TRW","D",2006,543,"sole, flathead","Y"
0.273,"AI","TRW","R",2006,543,"sole, flathead","Y"
6.145,"BS","HAL","D",2006,513,"sole, flathead","Y"
3.769,"BS","HAL","D",2006,523,"sole, flathead","N"
6.088,"BS","HAL","R",2006,513,"sole, flathead","N"
3.432,"BS","HAL","D",2006,517,"sole, flathead","Y"
7.242,"BS","HAL","R",2006,521,"sole, flathead","Y"
0.234,"BS","HAL","D",2006,524,"sole, flathead","Y"
42.444,"BS","HAL","D",2006,521,"sole, flathead","Y"
9.631,"BS","HAL","R",2006,509,"sole, flathead","N"
0.354,"BS","HAL","R",2006,524,"sole, flathead","N"
82.626,"BS","HAL","D",2006,513,"sole, flathead","N"
0.029,"BS","HAL","R",2006,523,"sole, flathead","N"
282.909,"BS","HAL","D",2006,521,"sole, flathead","N"
0.038,"BS","HAL","R",2006,524,"sole, flathead","Y"
14.224,"BS","HAL","R",2006,521,"sole, flathead","N"
1.432,"BS","HAL","R",2006,513,"sole, flathead","Y"
2.387,"BS","HAL","D",2006,509,"sole, flathead","Y"
0.641,"BS","HAL","R",2006,517,"sole, flathead","Y"
2.188,"BS","HAL","R",2006,517,"sole, flathead","N"
0.056,"BS","HAL","D",2006,519,"sole, flathead","Y"
2.671,"BS","HAL","D",2006,523,"sole, flathead","Y"
11.114,"BS","HAL","D",2006,524,"sole, flathead","N"
34.574,"BS","HAL","D",2006,517,"sole, flathead","N"
0.003,"BS","HAL","D",2006,514,"sole, flathead","N"
25.313,"BS","HAL","D",2006,509,"sole, flathead","N"
1.125,"BS","HAL","D",2006,516,"sole, flathead","N"
0.087,"BS","HAL","D",2006,516,"sole, flathead","Y"
1.403,"BS","HAL","D",2006,519,"sole, flathead","N"
0.044,"BS","HAL","D",2006,518,"sole, flathead","N"
0.04,"BS","POT","D",2006,517,"sole, flathead","N"
0.009,"BS","POT","D",2006,509,NA,"N"
0.034,"BS","POT","R",2006,517,"sole, flathead","N"
0.001,"BS","POT","D",2006,513,"sole, flathead","N"
0.015,"BS","POT","D",2006,519,NA,"N"
0.094,"BS","POT","R",2006,519,"sole, flathead","Y"
0.026,"BS","POT","D",2006,517,NA,"N"
0.015,"BS","POT","D",2006,521,"sole, flathead","N"
0.008,"BS","POT","D",2006,509,"sole, flathead","N"
0.314,"BS","POT","R",2006,509,"sole, flathead","N"
0.001,"BS","POT","D",2006,518,NA,"N"
16.348,"BS","TRW","R",2006,517,"sole, flathead","Y"
0.985,"BS","TRW","D",2006,513,NA,"N"
420.349,"BS","TRW","D",2006,517,"sole, flathead","N"
99.782,"BS","TRW","R",2006,509,"sole, flathead","Y"
1341.605,"BS","TRW","D",2006,521,"sole, flathead","N"
57.108,"BS","TRW","D",2006,521,"sole, flathead","Y"
629.013,"BS","TRW","R",2006,524,"sole, flathead","N"
18.291,"BS","TRW","D",2006,513,"sole, flathead","Y"
0.192,"BS","TRW","D",2006,519,"sole, flathead","Y"
136.52,"BS","TRW","D",2006,524,"sole, flathead","N"
33.067,"BS","TRW","D",2006,516,"sole, flathead","N"
2.443,"BS","TRW","D",2006,519,NA,"N"
13.067,"BS","TRW","R",2006,519,"sole, flathead","Y"
1.482,"BS","TRW","D",2006,523,"sole, flathead","N"
1776.435,"BS","TRW","R",2006,517,"sole, flathead","N"
154.081,"BS","TRW","D",2006,517,NA,"N"
5.938,"BS","TRW","R",2006,514,"sole, flathead","N"
0.162,"BS","TRW","D",2006,514,"sole, flathead","Y"
392.756,"BS","TRW","D",2006,513,"sole, flathead","N"
133.776,"BS","TRW","R",2006,519,"sole, flathead","N"
20.675,"BS","TRW","D",2006,519,"sole, flathead","N"
8.472,"BS","TRW","D",2006,517,"sole, flathead","Y"
6.27,"BS","TRW","R",2006,524,"sole, flathead","Y"
2701.898,"BS","TRW","R",2006,513,"sole, flathead","N"
