
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
486575 194630 170301 549558 461868 185492 
CV Recruit
1.17461 
Alternative 1 Alternative  Stock: 2024-10-23-projection_data.dat
Catch 2024-10-23-projection_data.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2030  0 83426.7 90758.3 19846.7 21546.7 22245.7 26984.2 2465.45 
2031  0 83426.7 90758.3 19160.9 22114.2 23077.3 30489.3 3763.12 
2032  0 83426.7 90758.3 18563.3 23056 24225.4 33593 5104.02 
2033  0 83426.7 90758.3 18121.2 24096.9 25541 37173.1 6367.6 
2034  0 83426.7 90758.3 17976.8 25538 26935.7 40358.7 7474.72 
2035  0 83426.7 90758.3 18129.3 26772.5 28270.7 43208.4 8372.93 
2036  0 83426.7 90758.3 18125.7 27924.1 29497.4 45211.7 9035.39 
2037  0 83426.7 90758.3 18203.7 28931.8 30510.9 47639.3 9473.64 
2038  0 83426.7 90758.3 18308.5 29810.4 31336 48664.4 9729.19 

Spawning_Biomass 2024-10-23-projection_data.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2024 486575 194630 170301 185492 185492 185492 185492 4.07454e-10 
2025 486575 194630 170301 204306 204315 204323 204366 24.2303 
2026 486575 194630 170301 220415 220473 220515 220753 129.658 
2027 486575 194630 170301 230330 230579 230746 231684 518.216 
2028 486575 194630 170301 229884 230759 231282 234284 1690.69 
2029 486575 194630 170301 225018 227718 229179 237641 4860.99 
2030 486575 194630 170301 216738 223806 227581 249635 12244.1 
2031 486575 194630 170301 206613 222896 230724 279099 26019.8 
2032 486575 194630 170301 196764 229069 241067 326863 44953.6 
2033 486575 194630 170301 187857 241272 256642 377480 63907.7 
2034 486575 194630 170301 183359 256481 274522 423491 79496.1 
2035 486575 194630 170301 181897 275019 291833 458546 91824.2 
2036 486575 194630 170301 186044 289173 307387 484141 101358 
2037 486575 194630 170301 186528 299047 319917 506261 107678 
2038 486575 194630 170301 185840 308615 329630 530628 110754 

Fishing_mortality2024-10-23-projection_data.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2024  0 0.39806 0.491865 0.0522812 0.0522812 0.0522812 0.0522812 1.8735e-16 
2025  0 0.39806 0.491865 0.0492284 0.0492622 0.0492567 0.0492679 1.57387e-05 
2026  0 0.39806 0.491865 0.0467552 0.0469849 0.0469511 0.0470301 0.000104693 
2027  0 0.39806 0.491865 0.0876183 0.0876183 0.0876183 0.0876183 8.88178e-16 
2028  0 0.39806 0.491865 0.0876183 0.0876183 0.0876183 0.0876183 8.88178e-16 
2029  0 0.39806 0.491865 0.0876183 0.0876183 0.0876183 0.0876183 8.88178e-16 
2030  0 0.39806 0.491865 0.0876183 0.0876183 0.0876183 0.0876183 8.88178e-16 
2031  0 0.39806 0.491865 0.0876183 0.0876183 0.0876183 0.0876183 8.88178e-16 
2032  0 0.39806 0.491865 0.0876183 0.0876183 0.0876183 0.0876183 8.88178e-16 
2033  0 0.39806 0.491865 0.0876183 0.0876183 0.0876183 0.0876183 8.88178e-16 
2034  0 0.39806 0.491865 0.0876183 0.0876183 0.0876183 0.0876183 8.88178e-16 
2035  0 0.39806 0.491865 0.0876183 0.0876183 0.0876183 0.0876183 8.88178e-16 
2036  0 0.39806 0.491865 0.0876183 0.0876183 0.0876183 0.0876183 8.88178e-16 
2037  0 0.39806 0.491865 0.0876183 0.0876183 0.0876183 0.0876183 8.88178e-16 
2038  0 0.39806 0.491865 0.0876183 0.0876183 0.0876183 0.0876183 8.88178e-16 

Total_Biomass2024-10-23-projection_data.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2024 1.5471e+06 1.01763e+06 966955 782243 782243 782243 782243 1.15251e-08 
2025 1.5471e+06 1.01763e+06 966955 771764 786851 801418 876706 42001.8 
2026 1.5471e+06 1.01763e+06 966955 754718 805121 832021 998100 87171.8 
2027 1.5471e+06 1.01763e+06 966955 737152 839096 874735 1.13584e+06 137426 
2028 1.5471e+06 1.01763e+06 966955 712603 875797 918183 1.26855e+06 186406 
2029 1.5471e+06 1.01763e+06 966955 696680 914809 968259 1.40456e+06 234338 
2030 1.5471e+06 1.01763e+06 966955 685420 963527 1.02029e+06 1.52572e+06 278030 
2031 1.5471e+06 1.01763e+06 966955 692641 1.01659e+06 1.07136e+06 1.6422e+06 312521 
2032 1.5471e+06 1.01763e+06 966955 700020 1.05561e+06 1.11736e+06 1.71764e+06 339116 
2033 1.5471e+06 1.01763e+06 966955 699528 1.09586e+06 1.15819e+06 1.81164e+06 356429 
2034 1.5471e+06 1.01763e+06 966955 695927 1.13433e+06 1.19176e+06 1.84164e+06 368491 
2035 1.5471e+06 1.01763e+06 966955 713457 1.1654e+06 1.21968e+06 1.90364e+06 376500 
2036 1.5471e+06 1.01763e+06 966955 729154 1.18757e+06 1.24361e+06 1.93858e+06 378952 
2037 1.5471e+06 1.01763e+06 966955 748130 1.2106e+06 1.26266e+06 1.99095e+06 379168 
2038 1.5471e+06 1.01763e+06 966955 776324 1.22268e+06 1.27933e+06 2.0045e+06 376618 
Alternative 5 Alternative  Stock: 2024-10-23-projection_data.dat
Catch 2024-10-23-projection_data.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2024  0 83426.7 90758.3 11125 11125 11125 11125 5.45697e-11 
2025  0 83426.7 90758.3 11148 11148 11148 11148 2.4587e-06 
2026  0 83426.7 90758.3 11148 11148 11148 11148 7.70999e-05 
2027  0 83426.7 90758.3 0 0 0 0 0 
2028  0 83426.7 90758.3 0 0 0 0 0 
2029  0 83426.7 90758.3 0 0 0 0 0 
2030  0 83426.7 90758.3 0 0 0 0 0 
2031  0 83426.7 90758.3 0 0 0 0 0 
2032  0 83426.7 90758.3 0 0 0 0 0 
2033  0 83426.7 90758.3 0 0 0 0 0 
2034  0 83426.7 90758.3 0 0 0 0 0 
2035  0 83426.7 90758.3 0 0 0 0 0 
2036  0 83426.7 90758.3 0 0 0 0 0 
2037  0 83426.7 90758.3 0 0 0 0 0 
2038  0 83426.7 90758.3 0 0 0 0 0 

Spawning_Biomass 2024-10-23-projection_data.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2024 486575 194630 170301 185492 185492 185492 185492 4.07454e-10 
2025 486575 194630 170301 204306 204315 204323 204366 24.2303 
